"name","path_id","path_desc"
"acnB","eco00640","Propanoate metabolism"
"acnB","eco01100","Metabolic pathways"
"acnB","eco01110","Biosynthesis of secondary metabolites"
"acnB","eco01120","Microbial metabolism in diverse environments"
"acnB","eco01200","Carbon metabolism"
"acnB","eco01210","2-Oxocarboxylic acid metabolism"
"acnB","eco01230","Biosynthesis of amino acids"
"acpH","eco00770","Pantothenate and CoA biosynthesis"
"acpP","NA","NA"
"acpS","eco00770","Pantothenate and CoA biosynthesis"
"acpT","eco00770","Pantothenate and CoA biosynthesis"
"acrA","eco00312","beta-Lactam resistance"
"acrB","eco00312","beta-Lactam resistance"
"acrD","NA","NA"
"acrE","NA","NA"
"acrF","NA","NA"
"acrR","NA","NA"
"acs","NA","NA"
"actP","NA","NA"
"ada","NA","NA"
"add","NA","NA"
"ade","NA","NA"
"adhE","eco00010","Glycolysis / Gluconeogenesis"
"adhE","eco00071","Fatty acid degradation"
"adhE","eco00350","Tyrosine metabolism"
"adhE","eco00362","Benzoate degradation"
"adhE","eco00620","Pyruvate metabolism"
"adhE","eco00621","Dioxin degradation"
"adhE","eco00622","Xylene degradation"
"adhE","eco00625","Chloroalkane and chloroalkene degradation"
"adhE","eco00626","Naphthalene degradation"
"adhE","eco00650","Butanoate metabolism"
"adhE","eco01100","Metabolic pathways"
"adhE","eco01110","Biosynthesis of secondary metabolites"
"adhE","eco01120","Microbial metabolism in diverse environments"
"adhE","eco01220","Degradation of aromatic compounds"
"adhP","eco00010","Glycolysis / Gluconeogenesis"
"adhP","eco00071","Fatty acid degradation"
"adhP","eco00350","Tyrosine metabolism"
"adhP","eco00625","Chloroalkane and chloroalkene degradation"
"adhP","eco00626","Naphthalene degradation"
"adhP","eco01100","Metabolic pathways"
"adhP","eco01110","Biosynthesis of secondary metabolites"
"adhP","eco01120","Microbial metabolism in diverse environments"
"adhP","eco01220","Degradation of aromatic compounds"
"adiA","NA","NA"
"adiC","NA","NA"
"adiY","NA","NA"
"adk","eco00230","Purine metabolism"
"adk","eco01100","Metabolic pathways"
"adk","eco01110","Biosynthesis of secondary metabolites"
"adrA","NA","NA"
"adrB","NA","NA"
"aegA","NA","NA"
"aer","NA","NA"
"aes","eco00363","Bisphenol degradation"
"aes","eco01120","Microbial metabolism in diverse environments"
"afuB","NA","NA"
"afuC","eco02010","ABC transporters"
"agaA","NA","NA"
"agaB","eco00052","Galactose metabolism"
"agaB","eco02060","Phosphotransferase system (PTS)"
"agaC","eco00052","Galactose metabolism"
"agaC","eco02060","Phosphotransferase system (PTS)"
"agaD","eco00052","Galactose metabolism"
"agaD","eco02060","Phosphotransferase system (PTS)"
"agaI","eco00052","Galactose metabolism"
"agaR","NA","NA"
"agaS","NA","NA"
"agaV","eco00052","Galactose metabolism"
"agaV","eco02060","Phosphotransferase system (PTS)"
"agaW","NA","NA"
"agp","eco00010","Glycolysis / Gluconeogenesis"
"agp","eco01120","Microbial metabolism in diverse environments"
"ahpC","NA","NA"
"ahpF","NA","NA"
"aidB","NA","NA"
"ais","NA","NA"
"alaA","eco00250","Alanine, aspartate and glutamate metabolism"
"alaA","eco00290","Valine, leucine and isoleucine biosynthesis"
"alaA","eco01100","Metabolic pathways"
"alaA","eco01110","Biosynthesis of secondary metabolites"
"alaA","eco01210","2-Oxocarboxylic acid metabolism"
"alaA","eco01230","Biosynthesis of amino acids"
"alaC","NA","NA"
"alaS","eco00970","Aminoacyl-tRNA biosynthesis"
"alaW","eco00970","Aminoacyl-tRNA biosynthesis"
"alaX","eco00970","Aminoacyl-tRNA biosynthesis"
"aldA","eco00620","Pyruvate metabolism"
"aldA","eco00630","Glyoxylate and dicarboxylate metabolism"
"aldA","eco01120","Microbial metabolism in diverse environments"
"aldB","NA","NA"
"alkA","eco03410","Base excision repair"
"alkB","NA","NA"
"allA","eco00230","Purine metabolism"
"allA","eco01100","Metabolic pathways"
"allB","eco00230","Purine metabolism"
"allB","eco01100","Metabolic pathways"
"allB","eco01120","Microbial metabolism in diverse environments"
"allC","eco00230","Purine metabolism"
"allC","eco01120","Microbial metabolism in diverse environments"
"allD","NA","NA"
"allR","NA","NA"
"allS","NA","NA"
"alpA","NA","NA"
"alr","eco00473","D-Alanine metabolism"
"alr","eco01100","Metabolic pathways"
"alsA","eco02010","ABC transporters"
"alsB","eco02010","ABC transporters"
"alsC","eco02010","ABC transporters"
"alsE","eco00051","Fructose and mannose metabolism"
"alsE","eco01120","Microbial metabolism in diverse environments"
"alsK","eco00051","Fructose and mannose metabolism"
"alsK","eco01120","Microbial metabolism in diverse environments"
"alx","NA","NA"
"amiA","NA","NA"
"amiB","NA","NA"
"amiC","NA","NA"
"amiD","NA","NA"
"amn","eco00230","Purine metabolism"
"ampC","NA","NA"
"ampD","NA","NA"
"ampE","NA","NA"
"ampG","eco00312","beta-Lactam resistance"
"ampH","NA","NA"
"amtB","NA","NA"
"amyA","eco00500","Starch and sucrose metabolism"
"amyA","eco01100","Metabolic pathways"
"anmK","NA","NA"
"ansA","eco00250","Alanine, aspartate and glutamate metabolism"
"ansA","eco00460","Cyanoamino acid metabolism"
"ansA","eco01100","Metabolic pathways"
"ansA","eco01110","Biosynthesis of secondary metabolites"
"ansB","eco00250","Alanine, aspartate and glutamate metabolism"
"ansB","eco00460","Cyanoamino acid metabolism"
"ansB","eco01100","Metabolic pathways"
"ansB","eco01110","Biosynthesis of secondary metabolites"
"ansP","NA","NA"
"apaG","NA","NA"
"apaH","eco00230","Purine metabolism"
"apbE","NA","NA"
"aphA","eco00627","Aminobenzoate degradation"
"aphA","eco00740","Riboflavin metabolism"
"aphA","eco01120","Microbial metabolism in diverse environments"
"appA","eco00562","Inositol phosphate metabolism"
"appA","eco00627","Aminobenzoate degradation"
"appA","eco00740","Riboflavin metabolism"
"appA","eco01120","Microbial metabolism in diverse environments"
"appB","eco00190","Oxidative phosphorylation"
"appB","eco01100","Metabolic pathways"
"appB","eco02020","Two-component system"
"appC","eco00190","Oxidative phosphorylation"
"appC","eco01100","Metabolic pathways"
"appC","eco02020","Two-component system"
"appY","eco02020","Two-component system"
"apt","NA","NA"
"aqpZ","NA","NA"
"araA","eco00040","Pentose and glucuronate interconversions"
"araA","eco01100","Metabolic pathways"
"araB","eco00040","Pentose and glucuronate interconversions"
"araB","eco01100","Metabolic pathways"
"araC","NA","NA"
"araD","eco00040","Pentose and glucuronate interconversions"
"araD","eco01100","Metabolic pathways"
"araE","NA","NA"
"araF","eco02010","ABC transporters"
"araG","eco02010","ABC transporters"
"araH","eco02010","ABC transporters"
"araJ","NA","NA"
"arcA","eco02020","Two-component system"
"arcB","eco02020","Two-component system"
"arcZ","NA","NA"
"argA","eco00330","Arginine and proline metabolism"
"argA","eco01100","Metabolic pathways"
"argA","eco01110","Biosynthesis of secondary metabolites"
"argA","eco01210","2-Oxocarboxylic acid metabolism"
"argA","eco01230","Biosynthesis of amino acids"
"argB","eco00330","Arginine and proline metabolism"
"argB","eco01100","Metabolic pathways"
"argB","eco01110","Biosynthesis of secondary metabolites"
"argB","eco01210","2-Oxocarboxylic acid metabolism"
"argB","eco01230","Biosynthesis of amino acids"
"argC","eco00330","Arginine and proline metabolism"
"argC","eco01100","Metabolic pathways"
"argC","eco01110","Biosynthesis of secondary metabolites"
"argC","eco01210","2-Oxocarboxylic acid metabolism"
"argC","eco01230","Biosynthesis of amino acids"
"argD","eco00300","Lysine biosynthesis"
"argD","eco00330","Arginine and proline metabolism"
"argD","eco01100","Metabolic pathways"
"argD","eco01110","Biosynthesis of secondary metabolites"
"argD","eco01120","Microbial metabolism in diverse environments"
"argD","eco01210","2-Oxocarboxylic acid metabolism"
"argD","eco01230","Biosynthesis of amino acids"
"argE","eco00330","Arginine and proline metabolism"
"argE","eco01100","Metabolic pathways"
"argE","eco01110","Biosynthesis of secondary metabolites"
"argE","eco01210","2-Oxocarboxylic acid metabolism"
"argE","eco01230","Biosynthesis of amino acids"
"argF","eco00330","Arginine and proline metabolism"
"argF","eco01100","Metabolic pathways"
"argF","eco01110","Biosynthesis of secondary metabolites"
"argF","eco01230","Biosynthesis of amino acids"
"argG","eco00250","Alanine, aspartate and glutamate metabolism"
"argG","eco00330","Arginine and proline metabolism"
"argG","eco01100","Metabolic pathways"
"argG","eco01110","Biosynthesis of secondary metabolites"
"argG","eco01230","Biosynthesis of amino acids"
"argH","eco00250","Alanine, aspartate and glutamate metabolism"
"argH","eco00330","Arginine and proline metabolism"
"argH","eco01100","Metabolic pathways"
"argH","eco01110","Biosynthesis of secondary metabolites"
"argH","eco01230","Biosynthesis of amino acids"
"argI","eco00330","Arginine and proline metabolism"
"argI","eco01100","Metabolic pathways"
"argI","eco01110","Biosynthesis of secondary metabolites"
"argI","eco01230","Biosynthesis of amino acids"
"argK","NA","NA"
"argO","NA","NA"
"argP","NA","NA"
"argQ","eco00970","Aminoacyl-tRNA biosynthesis"
"argR","NA","NA"
"argS","eco00970","Aminoacyl-tRNA biosynthesis"
"argT","eco02010","ABC transporters"
"argU","eco00970","Aminoacyl-tRNA biosynthesis"
"argV","eco00970","Aminoacyl-tRNA biosynthesis"
"argW","eco00970","Aminoacyl-tRNA biosynthesis"
"argX","eco00970","Aminoacyl-tRNA biosynthesis"
"argY","eco00970","Aminoacyl-tRNA biosynthesis"
"argZ","eco00970","Aminoacyl-tRNA biosynthesis"
"ariR","NA","NA"
"arnA","eco00520","Amino sugar and nucleotide sugar metabolism"
"arnA","eco01110","Biosynthesis of secondary metabolites"
"arnB","eco00520","Amino sugar and nucleotide sugar metabolism"
"arnB","eco01110","Biosynthesis of secondary metabolites"
"arnB","eco02020","Two-component system"
"arnC","eco00520","Amino sugar and nucleotide sugar metabolism"
"arnC","eco01110","Biosynthesis of secondary metabolites"
"arnD","NA","NA"
"arnE","NA","NA"
"arnF","NA","NA"
"arnT","NA","NA"
"aroA","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroA","eco01100","Metabolic pathways"
"aroA","eco01110","Biosynthesis of secondary metabolites"
"aroA","eco01230","Biosynthesis of amino acids"
"aroB","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroB","eco01100","Metabolic pathways"
"aroB","eco01110","Biosynthesis of secondary metabolites"
"aroB","eco01230","Biosynthesis of amino acids"
"aroC","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroC","eco01100","Metabolic pathways"
"aroC","eco01110","Biosynthesis of secondary metabolites"
"aroC","eco01230","Biosynthesis of amino acids"
"aroD","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroD","eco01100","Metabolic pathways"
"aroD","eco01110","Biosynthesis of secondary metabolites"
"aroD","eco01230","Biosynthesis of amino acids"
"aroE","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroE","eco01100","Metabolic pathways"
"aroE","eco01110","Biosynthesis of secondary metabolites"
"aroE","eco01230","Biosynthesis of amino acids"
"aroF","NA","NA"
"aroG","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroG","eco01100","Metabolic pathways"
"aroG","eco01110","Biosynthesis of secondary metabolites"
"aroG","eco01230","Biosynthesis of amino acids"
"aroH","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroH","eco01100","Metabolic pathways"
"aroH","eco01110","Biosynthesis of secondary metabolites"
"aroH","eco01230","Biosynthesis of amino acids"
"aroK","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroK","eco01100","Metabolic pathways"
"aroK","eco01110","Biosynthesis of secondary metabolites"
"aroK","eco01230","Biosynthesis of amino acids"
"aroL","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aroL","eco01100","Metabolic pathways"
"aroL","eco01110","Biosynthesis of secondary metabolites"
"aroL","eco01230","Biosynthesis of amino acids"
"aroM","NA","NA"
"aroP","NA","NA"
"arpA","NA","NA"
"arpB","NA","NA"
"arrD","NA","NA"
"arrQ","NA","NA"
"arsB","NA","NA"
"arsC","NA","NA"
"arsR","NA","NA"
"artI","eco02010","ABC transporters"
"artJ","eco02010","ABC transporters"
"artM","eco02010","ABC transporters"
"artP","eco02010","ABC transporters"
"artQ","eco02010","ABC transporters"
"ascB","eco00010","Glycolysis / Gluconeogenesis"
"ascF","eco00010","Glycolysis / Gluconeogenesis"
"ascF","eco02060","Phosphotransferase system (PTS)"
"ascG","NA","NA"
"asd","eco00260","Glycine, serine and threonine metabolism"
"asd","eco00270","Cysteine and methionine metabolism"
"asd","eco00300","Lysine biosynthesis"
"asd","eco01100","Metabolic pathways"
"asd","eco01110","Biosynthesis of secondary metabolites"
"asd","eco01120","Microbial metabolism in diverse environments"
"asd","eco01210","2-Oxocarboxylic acid metabolism"
"asd","eco01230","Biosynthesis of amino acids"
"aslA","eco00600","Sphingolipid metabolism"
"aslB","NA","NA"
"asmA","NA","NA"
"asnA","NA","NA"
"asnB","eco00250","Alanine, aspartate and glutamate metabolism"
"asnB","eco01100","Metabolic pathways"
"asnB","eco01110","Biosynthesis of secondary metabolites"
"asnC","NA","NA"
"asnS","eco00970","Aminoacyl-tRNA biosynthesis"
"asnT","eco00970","Aminoacyl-tRNA biosynthesis"
"asnU","eco00970","Aminoacyl-tRNA biosynthesis"
"asnV","eco00970","Aminoacyl-tRNA biosynthesis"
"asnW","eco00970","Aminoacyl-tRNA biosynthesis"
"aspA","eco00250","Alanine, aspartate and glutamate metabolism"
"aspA","eco01100","Metabolic pathways"
"aspC","eco00250","Alanine, aspartate and glutamate metabolism"
"aspC","eco00270","Cysteine and methionine metabolism"
"aspC","eco00330","Arginine and proline metabolism"
"aspC","eco00350","Tyrosine metabolism"
"aspC","eco00360","Phenylalanine metabolism"
"aspC","eco00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"aspC","eco00401","Novobiocin biosynthesis"
"aspC","eco01100","Metabolic pathways"
"aspC","eco01110","Biosynthesis of secondary metabolites"
"aspC","eco01120","Microbial metabolism in diverse environments"
"aspC","eco01210","2-Oxocarboxylic acid metabolism"
"aspC","eco01230","Biosynthesis of amino acids"
"aspS","eco00970","Aminoacyl-tRNA biosynthesis"
"aspT","eco00970","Aminoacyl-tRNA biosynthesis"
"aspU","eco00970","Aminoacyl-tRNA biosynthesis"
"aspV","eco00970","Aminoacyl-tRNA biosynthesis"
"asr","NA","NA"
"astA","eco00330","Arginine and proline metabolism"
"astB","eco00330","Arginine and proline metabolism"
"astC","eco00330","Arginine and proline metabolism"
"astD","eco00330","Arginine and proline metabolism"
"astE","eco00330","Arginine and proline metabolism"
"atoA","eco00310","Lysine degradation"
"atoA","eco00627","Aminobenzoate degradation"
"atoA","eco00640","Propanoate metabolism"
"atoA","eco00650","Butanoate metabolism"
"atoA","eco01100","Metabolic pathways"
"atoA","eco01120","Microbial metabolism in diverse environments"
"atoA","eco02020","Two-component system"
"atoB","eco00071","Fatty acid degradation"
"atoB","eco00280","Valine, leucine and isoleucine degradation"
"atoB","eco00310","Lysine degradation"
"atoB","eco00362","Benzoate degradation"
"atoB","eco00380","Tryptophan metabolism"
"atoB","eco00620","Pyruvate metabolism"
"atoB","eco00630","Glyoxylate and dicarboxylate metabolism"
"atoB","eco00640","Propanoate metabolism"
"atoB","eco00650","Butanoate metabolism"
"atoB","eco00900","Terpenoid backbone biosynthesis"
"atoB","eco01100","Metabolic pathways"
"atoB","eco01110","Biosynthesis of secondary metabolites"
"atoB","eco01120","Microbial metabolism in diverse environments"
"atoB","eco01200","Carbon metabolism"
"atoB","eco01212","Fatty acid metabolism"
"atoB","eco02020","Two-component system"
"atoC","eco02020","Two-component system"
"atoD","eco00310","Lysine degradation"
"atoD","eco00627","Aminobenzoate degradation"
"atoD","eco00640","Propanoate metabolism"
"atoD","eco00650","Butanoate metabolism"
"atoD","eco01100","Metabolic pathways"
"atoD","eco01120","Microbial metabolism in diverse environments"
"atoD","eco02020","Two-component system"
"atoE","eco02020","Two-component system"
"atoS","eco02020","Two-component system"
"atpA","eco00190","Oxidative phosphorylation"
"atpA","eco01100","Metabolic pathways"
"atpB","eco00190","Oxidative phosphorylation"
"atpB","eco01100","Metabolic pathways"
"atpC","eco00190","Oxidative phosphorylation"
"atpC","eco01100","Metabolic pathways"
"atpD","eco00190","Oxidative phosphorylation"
"atpD","eco01100","Metabolic pathways"
"atpE","eco00190","Oxidative phosphorylation"
"atpE","eco01100","Metabolic pathways"
"atpF","eco00190","Oxidative phosphorylation"
"atpF","eco01100","Metabolic pathways"
"atpG","eco00190","Oxidative phosphorylation"
"atpG","eco01100","Metabolic pathways"
"atpH","eco00190","Oxidative phosphorylation"
"atpH","eco01100","Metabolic pathways"
"atpI","NA","NA"
"avtA","eco00290","Valine, leucine and isoleucine biosynthesis"
"avtA","eco01100","Metabolic pathways"
"avtA","eco01110","Biosynthesis of secondary metabolites"
"azoR","NA","NA"
"azuC","NA","NA"
"bacA","eco00550","Peptidoglycan biosynthesis"
"baeR","eco02020","Two-component system"
"baeS","eco02020","Two-component system"
"bamA","NA","NA"
"bamB","NA","NA"
"bamC","NA","NA"
"bamD","NA","NA"
"bamE","NA","NA"
"barA","eco02020","Two-component system"
"basR","eco02020","Two-component system"
"basS","eco02020","Two-component system"
"bax","NA","NA"
"bcp","NA","NA"
"bcr","NA","NA"
"bcsA","eco00500","Starch and sucrose metabolism"
"bcsA","eco01100","Metabolic pathways"
"bcsB","NA","NA"
"bcsC","NA","NA"
"bcsE","NA","NA"
"bcsF","NA","NA"
"bcsG","NA","NA"
"bcsQ","NA","NA"
"bcsZ","eco00500","Starch and sucrose metabolism"
"bcsZ","eco01100","Metabolic pathways"
"bdm","NA","NA"
"beeE","NA","NA"
"betA","eco00260","Glycine, serine and threonine metabolism"
"betA","eco01100","Metabolic pathways"
"betB","eco00260","Glycine, serine and threonine metabolism"
"betB","eco01100","Metabolic pathways"
"betI","NA","NA"
"betT","NA","NA"
"bfd","NA","NA"
"bfr","NA","NA"
"bglA","eco00010","Glycolysis / Gluconeogenesis"
"bglB","eco00010","Glycolysis / Gluconeogenesis"
"bglF","eco02060","Phosphotransferase system (PTS)"
"bglG","NA","NA"
"bglH","NA","NA"
"bglJ","NA","NA"
"bglX","eco00460","Cyanoamino acid metabolism"
"bglX","eco00500","Starch and sucrose metabolism"
"bglX","eco01100","Metabolic pathways"
"bglX","eco01110","Biosynthesis of secondary metabolites"
"bhsA","NA","NA"
"bioA","eco00780","Biotin metabolism"
"bioA","eco01100","Metabolic pathways"
"bioB","eco00780","Biotin metabolism"
"bioB","eco01100","Metabolic pathways"
"bioC","eco00780","Biotin metabolism"
"bioC","eco01100","Metabolic pathways"
"bioD","eco00780","Biotin metabolism"
"bioD","eco01100","Metabolic pathways"
"bioF","eco00780","Biotin metabolism"
"bioF","eco01100","Metabolic pathways"
"bioH","eco00780","Biotin metabolism"
"bioH","eco01100","Metabolic pathways"
"birA","eco00780","Biotin metabolism"
"birA","eco01100","Metabolic pathways"
"bisC","eco00780","Biotin metabolism"
"bisC","eco01100","Metabolic pathways"
"blc","NA","NA"
"blr","NA","NA"
"bolA","NA","NA"
"borD","NA","NA"
"brnQ","NA","NA"
"bsmA","NA","NA"
"bssR","NA","NA"
"bssS","NA","NA"
"btuB","NA","NA"
"btuC","eco02010","ABC transporters"
"btuD","eco02010","ABC transporters"
"btuE","eco00480","Glutathione metabolism"
"btuE","eco00590","Arachidonic acid metabolism"
"btuF","eco02010","ABC transporters"
"btuR","eco00860","Porphyrin and chlorophyll metabolism"
"btuR","eco01100","Metabolic pathways"
"cadA","eco00310","Lysine degradation"
"cadA","eco01100","Metabolic pathways"
"cadA","eco01110","Biosynthesis of secondary metabolites"
"cadB","NA","NA"
"cadC","NA","NA"
"caiA","NA","NA"
"caiB","NA","NA"
"caiC","NA","NA"
"caiD","NA","NA"
"caiE","NA","NA"
"caiF","NA","NA"
"caiT","NA","NA"
"can","NA","NA"
"carA","eco00240","Pyrimidine metabolism"
"carA","eco00250","Alanine, aspartate and glutamate metabolism"
"carA","eco01100","Metabolic pathways"
"carB","eco00240","Pyrimidine metabolism"
"carB","eco00250","Alanine, aspartate and glutamate metabolism"
"carB","eco01100","Metabolic pathways"
"casA","NA","NA"
"casB","NA","NA"
"casC","NA","NA"
"casD","NA","NA"
"casE","NA","NA"
"cbl","NA","NA"
"cbpA","NA","NA"
"cbpM","NA","NA"
"cbrA","NA","NA"
"cbrB","NA","NA"
"cbrC","NA","NA"
"cca","NA","NA"
"ccmA","eco02010","ABC transporters"
"ccmB","eco02010","ABC transporters"
"ccmC","eco02010","ABC transporters"
"ccmD","eco02010","ABC transporters"
"ccmE","NA","NA"
"ccmF","NA","NA"
"ccmG","NA","NA"
"ccmH","NA","NA"
"cdaR","NA","NA"
"cdd","eco00240","Pyrimidine metabolism"
"cdd","eco01100","Metabolic pathways"
"cdh","eco00564","Glycerophospholipid metabolism"
"cdsA","eco00564","Glycerophospholipid metabolism"
"cdsA","eco01100","Metabolic pathways"
"cedA","NA","NA"
"cfa","NA","NA"
"chaA","NA","NA"
"chaB","NA","NA"
"chaC","NA","NA"
"chbA","eco02060","Phosphotransferase system (PTS)"
"chbB","eco02060","Phosphotransferase system (PTS)"
"chbC","eco02060","Phosphotransferase system (PTS)"
"chbF","eco00010","Glycolysis / Gluconeogenesis"
"chbG","NA","NA"
"chbR","NA","NA"
"cheA","eco02020","Two-component system"
"cheA","eco02030","Bacterial chemotaxis"
"cheB","eco02020","Two-component system"
"cheB","eco02030","Bacterial chemotaxis"
"cheR","eco02020","Two-component system"
"cheR","eco02030","Bacterial chemotaxis"
"cheW","eco02020","Two-component system"
"cheW","eco02030","Bacterial chemotaxis"
"cheY","NA","NA"
"cheZ","eco02030","Bacterial chemotaxis"
"chiA","eco00520","Amino sugar and nucleotide sugar metabolism"
"chiA","eco01110","Biosynthesis of secondary metabolites"
"chiP","NA","NA"
"chiQ","NA","NA"
"chiX","NA","NA"
"cho","NA","NA"
"chpB","NA","NA"
"chpS","NA","NA"
"cirA","NA","NA"
"citC","eco02020","Two-component system"
"citD","eco00020","Citrate cycle (TCA cycle)"
"citD","eco01110","Biosynthesis of secondary metabolites"
"citD","eco02020","Two-component system"
"citE","eco00020","Citrate cycle (TCA cycle)"
"citE","eco01110","Biosynthesis of secondary metabolites"
"citE","eco02020","Two-component system"
"citF","eco00020","Citrate cycle (TCA cycle)"
"citF","eco01110","Biosynthesis of secondary metabolites"
"citF","eco02020","Two-component system"
"citG","eco02020","Two-component system"
"citT","eco02020","Two-component system"
"citX","eco02020","Two-component system"
"clcA","NA","NA"
"clcB","NA","NA"
"cld","NA","NA"
"clpA","NA","NA"
"clpB","NA","NA"
"clpP","NA","NA"
"clpS","NA","NA"
"clpX","NA","NA"
"cls","NA","NA"
"cmk","eco00240","Pyrimidine metabolism"
"cmk","eco01100","Metabolic pathways"
"cmoA","NA","NA"
"cmoB","NA","NA"
"cmtA","eco00051","Fructose and mannose metabolism"
"cmtA","eco02060","Phosphotransferase system (PTS)"
"cmtB","eco00051","Fructose and mannose metabolism"
"cmtB","eco02060","Phosphotransferase system (PTS)"
"cnu","NA","NA"
"coaA","NA","NA"
"coaD","eco00770","Pantothenate and CoA biosynthesis"
"coaD","eco01100","Metabolic pathways"
"coaE","eco00770","Pantothenate and CoA biosynthesis"
"coaE","eco01100","Metabolic pathways"
"cobB","NA","NA"
"cobC","eco00860","Porphyrin and chlorophyll metabolism"
"cobC","eco01100","Metabolic pathways"
"cobS","eco00860","Porphyrin and chlorophyll metabolism"
"cobS","eco01100","Metabolic pathways"
"cobT","eco00860","Porphyrin and chlorophyll metabolism"
"cobT","eco01100","Metabolic pathways"
"cobU","eco00860","Porphyrin and chlorophyll metabolism"
"cobU","eco01100","Metabolic pathways"
"codA","eco00240","Pyrimidine metabolism"
"codA","eco00330","Arginine and proline metabolism"
"codA","eco01100","Metabolic pathways"
"codB","NA","NA"
"cof","NA","NA"
"cohE","NA","NA"
"copA","NA","NA"
"corA","NA","NA"
"cpdA","NA","NA"
"cpdB","eco00230","Purine metabolism"
